date,platform,channel,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,creative_id,creative_name,landing_page,geo,device,currency,spend,impressions,reach,frequency,clicks,link_clicks,ctr,cpc,video_views,video_view_rate,completed_views,listen_starts,completed_listens,sessions,accounts_created,new_activated_users,conversion_value,source_file,source_grain,attribution_notes,data_confidence,notes
2026-02-06,linkedin,paid_social,,urn:li:sponsoredCampaign:530006296,KV_Meta ads_02/26_Sales_UK/NA_Cold,,,,,,,,,,USD,58.85,2587,,,12,12,0.004639,4.9042,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=0; comments=0; shares=0
2026-02-06,newsletter,newsletter,Whats AI,2efad85e-04d8-4d87-8c42-151ed42966ac,1 primary: Whats AI 2026-02-06,,,,,,,,,,USD,600,,,,20,,,30.0000,,,,,,,33,26,,activities + activity_uplifts,campaign,1 primary activity; incremental = post-window minus baseline; attributed=1,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-06,newsletter,newsletter,TLDR Product,cc895849-5c95-4422-aacd-8fcaced8a2b2,Primary: TLDR Product 2026-02-06,,,,,,,,,,USD,8000,,,,659,,,12.1396,,,,,,,33,26,,activities + activity_uplifts,campaign,Primary activity; incremental = post-window minus baseline; attributed=32,MED,channel=newsletter; status=live; tag=; source=sheets
2026-02-06,other,influencer,Growi UGC,,,,,,,,,,,,USD,,3413,,,,,,,3413,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=188; comments=1; shares=13; saves=6; posts=2; tiktok_views=3467; ig_views=0
2026-02-06,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,230,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-07,linkedin,paid_social,,urn:li:sponsoredCampaign:530501546,KV_Meta ads_02/26_Product/Operations_UK/NA_Cold,,,,,,,,,,USD,143.07,3621,,,15,15,0.004143,9.5380,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=2; comments=0; shares=0
2026-02-07,linkedin,paid_social,,urn:li:sponsoredCampaign:530006296,KV_Meta ads_02/26_Sales_UK/NA_Cold,,,,,,,,,,USD,71.32,2216,,,16,16,0.007220,4.4575,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=0; comments=0; shares=0
2026-02-07,other,influencer,Growi UGC,,,,,,,,,,,,USD,,1066,,,,,,,1066,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=84; comments=0; shares=1; saves=1; posts=2; tiktok_views=1092; ig_views=0
2026-02-07,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,46,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-08,linkedin,paid_social,,urn:li:sponsoredCampaign:530501546,KV_Meta ads_02/26_Product/Operations_UK/NA_Cold,,,,,,,,,,USD,148.17,4200,,,16,16,0.003810,9.2606,,,,,,,,,,linkedin_ad_daily,campaign,LinkedIn Ads API; conversions use LinkedIn 30-day click-through window,high,conversions=0; reactions=3; comments=0; shares=0
